Gene,Mean_GBM,Mean_Other,Diff_Score,T_Stat,P_Value,FDR,Cohen_D,Std_GBM,Std_Other,Rank_Selectivity
BRCA1,-0.5080426963756431,-0.4103020469408197,-0.09774064943482347,-2.611005499366228,0.010934114907108381,0.07444368489576945,-0.3751637400202186,0.3015219884236882,0.25763834432104643,322
POLB,0.051242961642336625,0.07520405789470049,-0.02396109625236386,-2.28412279870585,0.024860202957495546,0.1250051315846474,-0.21555016234288188,0.08151344893801955,0.11281995653692567,3142
RPA1,-2.292044236401868,-2.2682621432961336,-0.023782093105734425,-0.44650745782495965,0.6565294331444409,0.829789896786704,-0.06141774505754343,0.42798512732901417,0.3844197953322908,3172
PPM1D,-0.22277373048972687,-0.20923294642925894,-0.013540784060467936,-0.514827390038278,0.6079689502711094,0.7988196121719985,-0.045830561394764026,0.20270908313879063,0.3004912638272007,5199
CHEK2,0.19193192713441565,0.20338989257405682,-0.011457965439641171,-0.617122873697796,0.5389113839818287,0.7519083709039747,-0.06695835743952029,0.14655501304233104,0.17259623274086627,5716
XRCC1,-0.28985057528737285,-0.28639488139890434,-0.003455693888468503,-0.17011723173907145,0.8653574175524104,0.9403347423108697,-0.019517509506889588,0.16115532009663783,0.178040272343129,7858
TP53,0.3844375703912014,0.38627336318064404,-0.0018357927894426251,-0.027686210303005603,0.9779853007895836,0.9908048154391785,-0.0035367105444270262,0.5303475733459988,0.5183263533436977,8337
PARP1,-0.22419688168238178,-0.22780475163538863,0.0036078699530068536,0.23636796609553423,0.8137512358760068,0.9146742056727127,0.02544242821373125,0.12039027132178183,0.14308604820421808,9945
BRCA2,-0.46401464688719585,-0.47733718374212064,0.013322536854924794,0.4915735510787357,0.6244116290003188,0.8095679623719968,0.05809373705181399,0.215534162150239,0.23019609627084883,12535
CHEK1,-1.754908940519204,-1.7694935189583019,0.014584578439097884,0.3313039108128536,0.7413296630285169,0.8777251403073387,0.042163279581588754,0.3520119437052767,0.3455066583106234,12815
ATM,-0.018892713063753893,-0.048422887487090685,0.029530174423336792,1.245569898138473,0.21667798327500462,0.4554276073267035,0.14710614442560352,0.1885356132489605,0.20150815835353417,15302
ERCC2,-0.8370132657790268,-0.8685194134940644,0.03150614771503757,0.9081145495289465,0.36668545392335095,0.6111703049151103,0.11381261098520164,0.27713038904298926,0.2768048774680438,15512
MDM2,-0.620859077467683,-0.6583493208996463,0.03749024343196328,0.6173558472614299,0.5388119007678862,0.7518968480594236,0.07300228836368416,0.48297107998109323,0.5154732283302134,16050
MDM4,-0.23105716549135977,-0.26891227055215955,0.03785510506079978,1.0187538757115853,0.3115471481959999,0.5603121848656516,0.1274575338500431,0.2967779131512643,0.29701624398547943,16075
TP53BP1,0.029374774937420096,-0.021055689348764152,0.05043046428618425,1.8712877739631257,0.06507318789266356,0.22465419605282508,0.21936775860270408,0.21418432819639086,0.23087372111156482,16772
RAD51,-1.3858830024621624,-1.443669503020098,0.05778650055793566,1.328197831073258,0.1881720167937751,0.4221862403815292,0.18146019233753594,0.3494618236998671,0.31633246090818035,16985
CDKN1A,0.3678940647064242,0.3076094919645504,0.06028457274187382,1.6437253598636774,0.10446731025632647,0.30090932872025095,0.22823301127905957,0.2948611318064939,0.26201474957947135,17040
FANCD2,-0.2163633600030592,-0.2861032962502036,0.06973993624714439,2.757558077888251,0.007279307831352586,0.056668323758359916,0.3387739897530473,0.2017269264779723,0.20612547926118985,17224
ATR,-1.1648673603593442,-1.2827722070245957,0.11790484666525147,2.815955973302209,0.006258203059543232,0.051380878690782825,0.43426256225327425,0.33842235848369795,0.26657666907285277,17649
